Age of respondent;Rs religious preference;How fundamentalist is r currently;Religion in which raised;Tried to convince others to accept jesus;Is homosexual sex wrong?
39;Protestant;Moderate;Protestant;No;Not wrong at all
58;Protestant;Liberal;Protestant;No;Not wrong at all
74;None;Liberal;Protestant;No;Not wrong at all
41;Buddhism;Na-excluded;Catholic;No;Not applicable
19;Catholic;Moderate;Catholic;Yes;Wrong only sometimes
36;None;Liberal;Catholic;No;Wrong only sometimes
27;Catholic;Moderate;Catholic;No;Always wrong
28;Catholic;Moderate;Catholic;No;Always wrong
22;Catholic;Moderate;Catholic;No;Not wrong at all
39;None;Liberal;Hinduism;No;Not wrong at all
44;Catholic;Moderate;Christian;No;Always wrong
39;Catholic;Moderate;Catholic;No;Not wrong at all
30;Protestant;Moderate;Protestant;Yes;Not applicable
46;None;Liberal;Protestant;No;Not applicable
No answer;Catholic;Moderate;Catholic;Yes;Always wrong
33;Jewish;Liberal;Jewish;No;Not applicable
61;None;Liberal;Protestant;No;Not wrong at all
20;Buddhism;Na-excluded;Buddhism;No;Not wrong at all
29;Christian;Moderate;Catholic;Yes;Not wrong at all
20;None;Liberal;Catholic;No;Not wrong at all
27;None;Liberal;Catholic;Yes;Not wrong at all
40;Buddhism;Na-excluded;Catholic;No;Not applicable
18;Protestant;Fundamentalist;Protestant;No;Always wrong
53;None;Liberal;Catholic;No;Always wrong
44;Catholic;Moderate;Catholic;Yes;Not applicable
30;None;Liberal;None;No;Wrong only sometimes
52;Protestant;Fundamentalist;Catholic;Yes;Not wrong at all
36;Catholic;Moderate;Catholic;No;Always wrong
33;None;Liberal;None;No;Not wrong at all
44;Protestant;Fundamentalist;Jewish;No;Not wrong at all
78;None;Liberal;None;No;Not applicable
47;None;Liberal;Protestant;No;Wrong only sometimes
42;Catholic;Moderate;Catholic;No;Not applicable
32;None;Liberal;Catholic;No;Not applicable
35;Other;Na-excluded;Protestant;No;Not applicable
63;Jewish;Liberal;Jewish;No;Not wrong at all
36;Protestant;Fundamentalist;Protestant;Yes;Always wrong
26;Moslem/islam;Na-excluded;Protestant;No;Wrong only sometimes
32;None;Liberal;None;No;Not applicable
71;Protestant;Fundamentalist;Protestant;Yes;Always wrong
19;Catholic;Moderate;Protestant;No;Not wrong at all
52;No answer;Na-excluded;No answer;Yes;Not applicable
36;Protestant;Moderate;Catholic;Yes;Not wrong at all
57;Protestant;Fundamentalist;Protestant;Yes;Always wrong
24;Protestant;Na-excluded;Christian;Yes;Not wrong at all
42;Protestant;Fundamentalist;Protestant;No;Always wrong
28;Catholic;Moderate;Catholic;Yes;Always wrong
19;Catholic;Moderate;Catholic;Yes;Always wrong
46;None;Liberal;None;No;Almost always wrong
43;Protestant;Fundamentalist;Protestant;Yes;Always wrong
75;Catholic;Moderate;Catholic;No;Always wrong
40;Protestant;Fundamentalist;Protestant;Yes;Not applicable
38;Catholic;Moderate;Catholic;Yes;Not wrong at all
63;Protestant;Liberal;Protestant;Yes;Always wrong
79;Catholic;Moderate;Catholic;No;Always wrong
40;No answer;Na-excluded;Moslem/islam;No;Not wrong at all
49;Catholic;Moderate;Catholic;No;Not applicable
72;Catholic;Moderate;Catholic;Don't know;Not applicable
38;Hinduism;Na-excluded;Hinduism;No;Always wrong
23;Catholic;Moderate;Catholic;No;Not wrong at all
50;Protestant;Liberal;Protestant;No;Not applicable
89 or older;Protestant;Moderate;Protestant;No;Always wrong
48;Protestant;Fundamentalist;Protestant;Yes;Always wrong
71;Orthodox-christian;Liberal;Orthodox-christian;No;Always wrong
19;Christian;Moderate;Christian;No;Not wrong at all
30;Protestant;Fundamentalist;Catholic;Yes;Always wrong
55;Protestant;Fundamentalist;Protestant;No;Not applicable
62;Protestant;Fundamentalist;Protestant;Yes;Always wrong
43;Catholic;Moderate;Catholic;No;Wrong only sometimes
66;Catholic;Moderate;Catholic;No;Almost always wrong
56;Catholic;Moderate;Catholic;Yes;Always wrong
56;Jewish;Liberal;Jewish;No;Always wrong
78;Jewish;Liberal;Jewish;No;Not wrong at all
89 or older;Protestant;Liberal;Protestant;No;Not wrong at all
51;Protestant;Liberal;Protestant;No;Not wrong at all
52;None;Liberal;Catholic;No;Not applicable
40;Protestant;Fundamentalist;Protestant;Yes;Not applicable
57;Protestant;Fundamentalist;Protestant;Yes;Always wrong
61;Protestant;Fundamentalist;Protestant;Yes;Always wrong
25;Protestant;Fundamentalist;Protestant;Yes;Not applicable
44;Catholic;Moderate;Catholic;Yes;Not applicable
21;Protestant;Fundamentalist;Christian;Yes;Not applicable
66;None;Liberal;Catholic;No;Not applicable
50;Protestant;Fundamentalist;Protestant;No;Almost always wrong
45;Protestant;Moderate;Protestant;Yes;Always wrong
52;Catholic;Moderate;Catholic;Yes;Always wrong
45;Catholic;Moderate;Other;No;Not applicable
24;None;Liberal;Catholic;Yes;Always wrong
70;Protestant;Fundamentalist;None;Yes;Not applicable
72;Catholic;Moderate;Catholic;Yes;Always wrong
28;Catholic;Moderate;Catholic;No;Not applicable
25;Catholic;Moderate;Catholic;No;Not applicable
58;Catholic;Moderate;Catholic;No;Wrong only sometimes
62;None;Liberal;Catholic;No;Not applicable
60;Protestant;Fundamentalist;Catholic;Yes;Not applicable
49;Catholic;Moderate;Catholic;Yes;Always wrong
47;Protestant;Fundamentalist;Protestant;No;Not applicable
34;Catholic;Moderate;Catholic;No;Don't know
31;Protestant;Fundamentalist;Protestant;No;Not applicable
38;Catholic;Moderate;Catholic;Yes;Not applicable
44;Catholic;Moderate;Catholic;No;Always wrong
24;None;Liberal;Catholic;No;Almost always wrong
77;Protestant;Fundamentalist;Protestant;Yes;Always wrong
45;Other;Na-excluded;Catholic;Yes;Always wrong
31;Protestant;Fundamentalist;Catholic;Yes;Always wrong
37;Catholic;Moderate;Catholic;No;Not wrong at all
38;Protestant;Fundamentalist;Protestant;Yes;Always wrong
24;None;Liberal;None;No;Not wrong at all
56;None;Liberal;Protestant;No;Not wrong at all
40;None;Liberal;Protestant;Yes;Always wrong
43;None;Liberal;Protestant;No;Always wrong
48;Protestant;Liberal;Protestant;Yes;Wrong only sometimes
30;Christian;Moderate;No answer;Yes;Not applicable
50;Protestant;Fundamentalist;Protestant;Yes;Always wrong
49;Protestant;Fundamentalist;Protestant;Yes;Not applicable
32;Protestant;Liberal;Protestant;No;Not wrong at all
37;Moslem/islam;Na-excluded;Moslem/islam;No;Not wrong at all
45;Moslem/islam;Na-excluded;Protestant;No;Always wrong
64;Catholic;Moderate;Catholic;Yes;Always wrong
43;Protestant;Fundamentalist;Protestant;Yes;Always wrong
19;None;Liberal;Catholic;Yes;Not wrong at all
53;Protestant;Fundamentalist;Protestant;Yes;Always wrong
84;Catholic;Moderate;Catholic;No;Not applicable
63;Protestant;Liberal;Protestant;No;Not wrong at all
57;None;Liberal;Catholic;No;Not wrong at all
74;Protestant;Liberal;Protestant;Yes;Almost always wrong
89 or older;Protestant;Moderate;Protestant;No;Not applicable
20;None;Liberal;None;Yes;Not applicable
28;Protestant;Fundamentalist;Protestant;Yes;Not applicable
84;Protestant;Moderate;Protestant;Yes;Not wrong at all
60;None;Liberal;Protestant;Yes;Always wrong
25;None;Liberal;Protestant;No;Not wrong at all
25;Protestant;Fundamentalist;Protestant;No;Always wrong
53;Protestant;Fundamentalist;Protestant;Yes;Not wrong at all
58;Protestant;Moderate;Protestant;Yes;Not applicable
80;No answer;Na-excluded;Catholic;No;Not applicable
45;Catholic;Moderate;Catholic;No;Wrong only sometimes
33;None;Liberal;Protestant;No;Not applicable
64;Protestant;Liberal;Protestant;No;Wrong only sometimes
44;Protestant;Fundamentalist;Protestant;Yes;Not wrong at all
41;Christian;Moderate;Protestant;Yes;Not applicable
68;Protestant;Liberal;Protestant;No;Not applicable
28;None;Liberal;None;No;Always wrong
35;Catholic;Moderate;Catholic;No;Not applicable
33;None;Liberal;Catholic;Yes;Not applicable
57;Catholic;Moderate;Catholic;No;Not applicable
49;Protestant;Moderate;Protestant;Yes;Not applicable
33;Protestant;Fundamentalist;Protestant;Yes;Always wrong
24;Christian;Moderate;Catholic;Yes;Always wrong
28;Protestant;Moderate;Protestant;Yes;Not applicable
56;Protestant;Moderate;Protestant;Yes;Always wrong
49;Catholic;Moderate;Catholic;No;Always wrong
72;Protestant;Liberal;Protestant;Yes;Not applicable
38;None;Liberal;Protestant;Yes;Not applicable
44;Christian;Moderate;Protestant;Yes;Always wrong
22;Catholic;Moderate;Catholic;No;Always wrong
20;Catholic;Moderate;Catholic;Yes;Not wrong at all
23;Protestant;Fundamentalist;Protestant;Yes;Not applicable
89 or older;Catholic;Moderate;Catholic;No;Always wrong
23;None;Liberal;Protestant;No;Not wrong at all
43;Catholic;Moderate;Catholic;Yes;Always wrong
39;Protestant;Moderate;None;Yes;Always wrong
62;Protestant;Fundamentalist;Protestant;Yes;Always wrong
36;Protestant;Fundamentalist;Protestant;Yes;Not applicable
22;Catholic;Moderate;Catholic;No;Always wrong
33;Protestant;Fundamentalist;Protestant;No;Not wrong at all
56;Protestant;Liberal;Catholic;Yes;Always wrong
36;Protestant;Fundamentalist;Protestant;Yes;Not applicable
31;Protestant;Fundamentalist;Protestant;Yes;Not wrong at all
24;Jewish;Liberal;Jewish;No;Not applicable
53;None;Liberal;Protestant;No;Don't know
35;Jewish;Liberal;Jewish;No;Not applicable
68;Protestant;Moderate;Protestant;Yes;Not applicable
29;None;Liberal;None;No;Not wrong at all
30;Catholic;Moderate;Catholic;No;Always wrong
31;None;Liberal;None;No;Not applicable
68;Protestant;Liberal;Protestant;No;Don't know
57;Orthodox-christian;Liberal;Orthodox-christian;No;Not applicable
62;Catholic;Moderate;Catholic;No;Not wrong at all
80;Protestant;Liberal;None;No;Not wrong at all
21;Catholic;Moderate;Catholic;Yes;Not applicable
46;Catholic;Moderate;Catholic;No;Not applicable
40;Catholic;Moderate;Catholic;Yes;Not applicable
20;Protestant;Fundamentalist;Protestant;No;Always wrong
35;None;Liberal;Catholic;No;Not applicable
73;None;Liberal;Protestant;No;Always wrong
51;Catholic;Moderate;Catholic;No;Not wrong at all
60;Protestant;Liberal;Catholic;No;Not applicable
58;None;Liberal;Catholic;No;Not wrong at all
19;Protestant;Liberal;Protestant;No;Not wrong at all
64;Protestant;Liberal;Protestant;No;Not wrong at all
39;Hinduism;Na-excluded;Hinduism;No;Wrong only sometimes
31;None;Liberal;Catholic;No;Not wrong at all
44;Buddhism;Na-excluded;Protestant;No;Not applicable
47;Protestant;Fundamentalist;Protestant;Yes;Not applicable
36;None;Liberal;Catholic;No;Not wrong at all
19;Protestant;Moderate;Protestant;Yes;Not applicable
31;Catholic;Moderate;Catholic;No;Not applicable
51;Protestant;Fundamentalist;Protestant;Yes;Not applicable
37;Catholic;Moderate;Catholic;No;Always wrong
23;Catholic;Moderate;Catholic;Yes;Not applicable
56;Protestant;Liberal;Protestant;Yes;Always wrong
56;Protestant;Liberal;Protestant;Yes;Not applicable
31;Protestant;Liberal;Protestant;Yes;Not applicable
29;Protestant;Fundamentalist;Protestant;No;Always wrong
62;Protestant;Fundamentalist;Catholic;Yes;Always wrong
52;Catholic;Moderate;Catholic;No;Almost always wrong
64;Catholic;Moderate;Catholic;No;Always wrong
76;Protestant;Liberal;Protestant;Yes;No answer
60;Protestant;Liberal;Protestant;No;Always wrong
38;Catholic;Moderate;Catholic;Yes;Always wrong
33;Catholic;Moderate;Catholic;Yes;Always wrong
73;Protestant;Liberal;Protestant;No;Not applicable
54;None;Liberal;Catholic;Yes;Not wrong at all
28;Catholic;Moderate;Catholic;No;Wrong only sometimes
40;Moslem/islam;Na-excluded;Moslem/islam;No;Always wrong
20;None;Liberal;Protestant;Yes;Always wrong
22;Protestant;Fundamentalist;None;Yes;Always wrong
23;Protestant;Fundamentalist;Protestant;No;Always wrong
31;Protestant;Fundamentalist;Protestant;Yes;Always wrong
50;Protestant;Fundamentalist;Protestant;Yes;Always wrong
28;Protestant;Fundamentalist;Protestant;Yes;Always wrong
39;Protestant;Liberal;Protestant;Yes;Almost always wrong
48;Protestant;Fundamentalist;Protestant;No;Not wrong at all
37;Catholic;Moderate;Catholic;No;Wrong only sometimes
65;Protestant;Fundamentalist;Protestant;Yes;Always wrong
43;Catholic;Moderate;Protestant;No;Always wrong
52;Protestant;Fundamentalist;Protestant;Yes;Always wrong
29;Catholic;Moderate;Catholic;No;Not wrong at all
24;Jewish;Liberal;Jewish;No;Not wrong at all
71;Jewish;Liberal;Jewish;No answer;No answer
42;Catholic;Moderate;Catholic;Yes;Always wrong
42;Protestant;Moderate;Protestant;No;Not applicable
20;Catholic;Moderate;Catholic;No;Not applicable
74;None;Liberal;Protestant;No;Always wrong
42;Catholic;Moderate;Catholic;No;Always wrong
39;Catholic;Moderate;Catholic;No;Not applicable
71;Orthodox-christian;Liberal;Orthodox-christian;No;Not wrong at all
62;Catholic;Moderate;Catholic;No;Not wrong at all
42;Protestant;Moderate;Catholic;Yes;Not applicable
20;None;Liberal;Protestant;No;Not applicable
47;Protestant;Moderate;Protestant;No;Not applicable
46;None;Liberal;None;Yes;Almost always wrong
46;Jewish;Liberal;Jewish;No;Not applicable
31;None;Liberal;None;No;Always wrong
40;No answer;Na-excluded;No answer;No;Not applicable
57;Catholic;Moderate;Catholic;No;Not wrong at all
57;None;Liberal;Catholic;No;Wrong only sometimes
38;Jewish;Liberal;Jewish;No answer;Always wrong
45;Protestant;Liberal;Protestant;No;Not wrong at all
48;Catholic;Moderate;Catholic;Yes;Not applicable
